PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
119967,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
119969,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
119970,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
1205428,TENNANT,"FILTER, SCREEN 080 MESH INLINE",FILTERS,61,,,Y,NO,YES,5,True
120967,THERMO KING,"HOUSING, FILTER, AIR",FILTERS,82,41,41,Y,YES,YES,3,True
124350,CROWN,"FILTER, OIL, HYDRAULIC, RETURN",FILTERS,266,3,0,Y,YES,YES,4,True
12691158,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
12693541,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
12731742,GMC TRUCK DIVISION,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
12737086,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
12-967,THERMO KING,"FILTER, ASSEMBLY, AIR",FILTERS,82,41,17,Y,YES,YES,3,True
130820,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
13172,ROBINAIR DIVISION,"FILTER, OIL, A/C RECOVERY, KIT",FILTERS,53,11,1,Y,YES,YES,5,True
14-00209-00,CARRIER CORP,"FILTER, DRIER, LIQUID LINE",FILTERS,82,10,2,Y,YES,YES,4,True
141132,CROWN,"FILTER, HYDRAULIC, RETURN",FILTERS,266,3,0,Y,YES,YES,3,True
14-17927-000,FREIGHTLINER,"FILTER, OIL, POWER STEERING",FILTERS,15,5,46,Y,YES,YES,4,True
142110,CROWN,"FILTER, AIR, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
142115,CROWN,"FILTER, OIL, TRANSMISSION",FILTERS,266,2,0,Y,YES,YES,3,True
144925,CROWN,"FILTER, OIL, TRANSMISSION",FILTERS,266,2,0,Y,YES,YES,3,True
15102546,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
15208-65FOE,NISSAN,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
152128,CROWN,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
153555,CROWN,"FILTER, OIL, HYDRAULIC",FILTERS,266,0,0,Y,YES,YES,3,True
